System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,silkroad,"Legend of Silkroad, The",,,,,,,,,,HORIZONTAL,1999,2,8 way,3,Other,joy8way,,Unico,,,,
arcade,legendos,Legend of Success Joe,,,,,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK / Wave,,,,
arcade,legion,Legion: Spinner-87,,,,,,,,,,VERTICAL,1987,2,8 way,3,Other,joy8way,,Nichibutsu,,,,
arcade,legionna,Legionnaire,,,,,,,,,,HORIZONTAL,1992,2,8 way,2,Other,joy8way,,TAD Corporation,,,,
arcade,crshrace,Lethal Crash Race,,,,,,,,,,VERTICAL,1993,3,8 way,3,Other,joy8way,,Video System Co.,,,,
arcade,le2,Lethal Enforcers 2: Gun Fighters,,,,,,,,,,HORIZONTAL,1994,4,lightgun,3,Konami,joy8way,lightgun,Konami,,,,
arcade,lethalth,Lethal Thunder,,,,,,,,,,VERTICAL,1991,2,8 way,2,Irem,joy8way,,Irem,,,,
arcade,liberator,Liberator,,,,,,,,,,HORIZONTAL,1982,2,trackball,2,Atari,,only_buttons / trackball,Atari,,,,
arcade,liberatr,Liberator,,,,,,,,,,HORIZONTAL,1982,2,trackball,2,Atari,,only_buttons / trackball,Atari,,,,
arcade,lockonph,Lock On,,,,,,,,,,HORIZONTAL,1991,2,8 way,2,Other,joy8way,,Philko,,,,
arcade,lnc,Lock'n'Chase,,,,,,,,,,VERTICAL,1981,2,4 way,1,Data East,joy4way,,Data East,,,,
arcade,ldrun2,Lode Runner 2: The Bungeling Strikes Back,,,,,,,,,,HORIZONTAL,1984,2,8 way,2,Irem,joy8way,,Irem / licensed from Broderbund,,,,
arcade,ldrun3,Lode Runner 3: The Golden Labyrinth,,,,,,,,,,HORIZONTAL,1985,2,8 way,2,Irem,joy8way,,Irem / licensed from Broderbund,,,,
arcade,ldrun4,Lode Runner 4: Teikoku Karano Dasshutsu,,,,,,,,,,HORIZONTAL,1986,2,8 way,2,Irem,joy8way,,Irem / licensed from Broderbund,,,,
arcade,losttomb,Lost Tomb,,,,,,,,,,VERTICAL,1982,1,twin stick,1,Other,doublejoy8way,,Stern Electronics,,,,
arcade,lostwsga,"Lost World, The",,,,,,,,,,HORIZONTAL,1997,2,lightgun,2,SEGA,,lightgun,SEGA,,,,
arcade,lupin3,Lupin 3,,,,,,,,,,VERTICAL,1980,2,4 way,1,Taito,joy4way,,Taito,,,,
arcade,mvp,"MVP (set 2, US)",,,,,,,,,,HORIZONTAL,1989,2,8 way,3,SEGA,joy8way,,SEGA,,,,
arcade,mx5000,MX5000,,,,,,,,,,VERTICAL,1987,2,8 way,2,Konami,joy8way,,Konami,,,,
arcade,mace,Mace: The Dark Age,,,,,,,,,,HORIZONTAL,1996,2,8 way,4,Atari,joy8way,,Atari Games,,,,
arcade,madmotor,Mad Motor,,,,,,,,,,HORIZONTAL,1989,2,8 way,2,Other,joy8way,,Mitchell,,,,
arcade,madshark,Mad Shark,,,,,,,,,,VERTICAL,1993,2,8 way,2,Other,joy8way,,Allumer,,,,
arcade,mcatadv,Magical Cat Adventure,,,,,,,,,,HORIZONTAL,1993,2,8 way,3,Other,joy8way,,Wintechno,,,,
arcade,mgcrystl,Magical Crystals,,,,,,,,,,HORIZONTAL,1991,2,8 way,2,Other,joy8way,,Kaneko,,,,
arcade,magdrop2,Magical Drop 2,,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,Data East,,,,
arcade,majtitle,Major Title,,,,,,,,,,HORIZONTAL,1990,2,8 way,4,Irem,joy8way,,Irem,,,,
arcade,maketrxb,Make Trax,,,,,,,,,,VERTICAL,1981,2,4 way,0,Other,joy4way,,Alpha Denshi Co. / Kural,,,,
arcade,maniach,Mania Challenge,,,,,,,,,,VERTICAL,1986,2,8 way,2,Technos,joy8way,,Technos Japan / Taito,,,,
arcade,mmaze,Marchen Maze,,,,,,,,,,HORIZONTAL,1988,2,8 way,3,Namco,joy8way,,Namco,,,,
arcade,mkartagp,Mario Kart Arcade GP,,,,,,,,,,HORIZONTAL,2005,unknown,analog,unknown,Nintendo,unknown,unknown,Namco / Nintendo,,,,
arcade,mkartag2,Mario Kart Arcade GP 2,,,,,,,,,,HORIZONTAL,2007,unknown,analog,unknown,Nintendo,unknown,unknown,Namco / Nintendo,,,,
arcade,mtlchamp,Martial Champion,,,,,,,,,,HORIZONTAL,1993,4,8 way,3,Konami,joy8way,,Konami,,,,
arcade,marvland,Marvel Land,,,,,,,,,,HORIZONTAL,1989,2,8 way,3,Namco,joy8way,,Namco,,,,
arcade,mshvsfa,Marvel Super Heroes Vs. Street Fighter,,,,,,,,,,HORIZONTAL,1997,2,8 way,6,Capcom,joy8way,,Capcom,,,,
arcade,mvsc2,Marvel Vs. Capcom 2: New Age of Heroes,,,,,,,,,,HORIZONTAL,2000,2,8 way,6,Capcom,joy8way,,Capcom / Marvel,,,,
arcade,mvscb,Marvel Vs. Capcom: Clash of Super Heroes,,,,,,,,,,HORIZONTAL,1998,2,8 way,6,Capcom,joy8way,,Capcom,,,,
arcade,marvins,Marvin's Maze,,,,,,,,,,VERTICAL,1983,2,8 way,1,SNK,joy8way,,SNK,,,,
arcade,kamenrid,Masked Riders Club Battle Race,,,,,,,,,,HORIZONTAL,1993,2,8 way,2,Other,joy8way,,Banpresto / Toei,,,,
arcade,masterw,Master of Weapon,,,,,,,,,,VERTICAL,1989,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,matmania,Mat Mania,,,,,,,,,,VERTICAL,1985,2,8 way,2,Technos,joy8way,,Technos Japan / Taito,,,,
arcade,mofflott,Maze of Flott,,,,,,,,,,VERTICAL,1989,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,mmmbanc,Medal Mahjong Moukari Bancho,,,,,,,,,,HORIZONTAL,2007,2,8 way,4,Cave,joy8way,,Cave / AMI license,,,,
arcade,megablst,Mega Blast,,,,,,,,,,HORIZONTAL,1989,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,megaman,Mega Man: The Power Battle,,,,,,,,,,HORIZONTAL,1995,2,8 way,3,Capcom,joy8way,,Capcom,,,,
arcade,megazone,Mega Zone,,,,,,,,,,VERTICAL,1983,2,8 way,1,Konami,joy8way,,Konami,,,,
arcade,mermaid,Mermaid,,,,,,,,,,HORIZONTAL,1982,2,8 way,1,Other,joy8way,,Sanritsu / Rock-Ola,,,,
arcade,metalb,Metal Black,,,,,,,,,,HORIZONTAL,1991,2,8 way,3,Taito,joy8way,,Taito,,,,
arcade,metlclsh,Metal Clash,,,,,,,,,,HORIZONTAL,1985,2,8 way,2,Data East,joy8way,,Data East,,,,
arcade,metlhawk,Metal Hawk,,,,,,,,,,VERTICAL,1988,2,analog,2,Namco,,stick,Namco,,,,
arcade,metlsavr,Metal Saver,,,,,,,,,,HORIZONTAL,1994,2,8 way,3,Other,joy8way,,First Amusement,,,,
arcade,mslug2,Metal Slug 2: Super Vehicle-001/II,,,,,,,,,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,SNK,,,,
arcade,msisaac,Metal Soldier Isaac 2,,,,,,,,,,VERTICAL,1985,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,metmqstr,Metamoqester,,,,,,,,,,HORIZONTAL,1995,2,8 way,4,Other,joy8way,,Banpresto / Pandorabox,,,,
arcade,mwarr,Mighty Warriors,,,,,,,,,,HORIZONTAL,null,2,8 way,3,Other,joy8way,,Elettronica Video-Games S.R.L.,,,,
arcade,mmonkey,Minky Monkey,,,,,,,,,,VERTICAL,1982,2,4 way,1,Technos,joy4way,,Technos Japan / Roller Tron,,,,
arcade,mirninja,Mirai Ninja,,,,,,,,,,HORIZONTAL,1988,2,8 way,3,Namco,joy8way,,Namco,,,,
arcade,misncrft,Mission Craft,,,,,,,,,,VERTICAL,2000,2,8 way,4,Other,joy8way,,Sun,,,,
arcade,mrviking,Mister Viking,,,,,,,,,,VERTICAL,1984,2,8 way,2,SEGA,joy8way,,SEGA,,,,
arcade,msgundam,Mobile Suit Gundam,,,,,,,,,,HORIZONTAL,1993,2,8 way,2,Other,joy8way,,Banpresto / Allumer,,,,
arcade,gundamex,Mobile Suit Gundam EX Revue,,,,,,,,,,HORIZONTAL,1994,2,8 way,4,Other,joy8way,,Banpresto,,,,
arcade,gdfs,Mobile Suit Gundam Final Shooting,,,,,,,,,,HORIZONTAL,1995,2,lightgun,3,Other,joy8way,lightgun,Banpresto,,,,
arcade,momoko,Momoko 120%,,,,,,,,,,HORIZONTAL,1986,2,4 way,2,Other,joy4way,,Jaleco,,,,
arcade,miexchng,Money Puzzle Exchanger,,,,,,,,,,HORIZONTAL NEOGEO,1997,2,8 way,4,Neo Geo,joy8way,,Face,,,,
arcade,mfjump,Monster Farm Jump,,,,,,,,,,HORIZONTAL,2001,4,8 way,3,Tecmo,joy8way,,Tecmo,,,,
arcade,mmaulers,Monster Maulers,,,,,,,,,,HORIZONTAL,1993,4,8 way,3,Konami,joy8way,,Konami,,,,
arcade,moonwar,Moonwar,,,,,,,,,,VERTICAL,1981,2,analog,4,Other,,dial,Stern Electronics,,,,
arcade,mk2chal,Mortal Kombat II Challenger,,,,,,,,,,HORIZONTAL,1993,2,8 way,6,Other,joy8way,,hack,,,,
arcade,msgogo,Mouse Shooter GoGo,,,,,,,,,,HORIZONTAL,1995,2,8 way,2,Other,joy8way,,Metro,,,,
arcade,mtrap,Mouse Trap,,,,,,,,,,HORIZONTAL,1981,1,4 way,4,Other,joy4way,,"Exidy / Exidy, Inc.",,,,
arcade,mouser,Mouser,,,,,,,,,,VERTICAL,1983,2,8 way,1,Other,joy8way,,UPL,,,,
arcade,mrgoemon,Mr. Goemon,,,,,,,,,,HORIZONTAL,1986,2,8 way,2,Konami,joy8way,,Konami,,,,
arcade,mugsmash,Mug Smashers,,,,,,,,,,HORIZONTAL,1990,2,8 way,3,Other,joy8way,,Electronic Devices Italy / 3D Games England,,,,
arcade,mnchmobl,Munch Mobile,,,,,,,,,,VERTICAL,1983,2,4 way,0,SNK,doublejoy2way,,SNK / Centuri license,,,,
arcade,mbombrd,Muscle Bomber Duo: Ultimate Team Battle,,,,,,,,,,HORIZONTAL,1993,4,8 way,3,Capcom,joy8way,,Capcom,,,,
arcade,mustache,Mustache Boy,,,,,,,,,,VERTICAL,1987,2,8 way,2,Other,joy8way,,Seibu Kaihatsu / March license,,,,
arcade,mystston,Mysterious Stones: Dr. John's Adventure,,,,,,,,,,VERTICAL,1984,2,4 way,2,Technos,joy4way,,Technos Japan / Tecmo,,,,
arcade,mysticm,Mystic Marathon,,,,,,,,,,HORIZONTAL,1983,1,8 way,1,Williams,joy8way,,Williams,,,,
arcade,nycaptor,N.Y. Captor,,,,,,,,,,HORIZONTAL,1985,1,lightgun,1,Taito,,lightgun,Taito,,,,
arcade,nbashowt,NBA Showtime NBA on NBC,,,,,,,,,,HORIZONTAL,1999,4,8 way,4,Midway,joy8way,stick,Midway Games,,,,
arcade,ncv1,Namco Classic Collection Vol.1,,,,,,,,,,VERTICAL,1995,2,8 way,3,Namco,joy8way,,Namco,,,,
arcade,ncv2,Namco Classic Collection Vol.2,,,,,,,,,,VERTICAL,1996,2,8 way,3,Namco,joy8way,,Namco,,,,
arcade,nastar,Nastar,,,,,,,,,,HORIZONTAL,1988,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,kuniokunb,Nekketsu Kouha Kunio-kun,,,,,,,,,,HORIZONTAL,1986,2,8 way,3,Other,joy8way,,bootleg,,,,
arcade,nemesis,Nemesis,,,,,,,,,,HORIZONTAL,1985,2,8 way,3,Konami,joy8way,,Konami,,,,
arcade,neobombe,Neo Bomberman,,,,,,,,,,HORIZONTAL NEOGEO,1997,2,8 way,4,Neo Geo,joy8way,,Hudson / SNK,,,,
arcade,neomrdo,Neo Mr. Do!,,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,Visco,,,,
arcade,neocup98,Neo-Geo Cup '98: The Road to the Victory,,,,,,,,,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,SNK,,,,
arcade,tnextspc,"Next Space, The",,,,,,,,,,VERTICAL,1989,2,8 way,2,SNK,joy8way,,SNK,,,,
arcade,nightrai,Night Raid,,,,,,,,,,HORIZONTAL,2001,4,8 way,3,Other,joy8way,,Takumi,,,,
arcade,nwarru,Night Warriors: Darkstalkers' Revenge,,,,,,,,,,HORIZONTAL,1995,2,8 way,6,Capcom,joy8way,,Capcom,,,,
arcade,ninclown,Ninja Clowns,,,,,,,,,,HORIZONTAL,1991,2,8 way,3,Other,joy8way,,Strata/Incredible Technologies,,,,
arcade,ninjemak,Ninja Emaki,,,,,,,,,,VERTICAL,1986,2,8 way,3,Other,joy8way,,Nichibutsu,,,,
arcade,nob,Noboranka,,,,,,,,,,VERTICAL,1986,2,8 way,2,Data East,joy8way,,Coreland / Data East,,,,
arcade,nost,Nostradamus,,,,,,,,,,VERTICAL,1993,2,8 way,1,Other,joy8way,,Face,,,,
arcade,omegaf,Omega Fighter,,,,,,,,,,VERTICAL,1989,2,8 way,2,Other,joy8way,,UPL,,,,
arcade,omegrace,Omega Race,,,,,,,,,,HORIZONTAL,1981,2,analog,2,Midway,,dial,Midway,,,,
arcade,opaopa,Opa Opa,,,,,,,,,,HORIZONTAL,1987,2,8 way,2,SEGA,joy8way,,SEGA,,,,
arcade,olds,Oriental Legend Super,,,,,,,,,,HORIZONTAL,1998,4,8 way,4,Other,joy8way,,IGS,,,,
arcade,overtop,Over Top,,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,ADK,,,,
arcade,pacplus,Pac-Man Plus,,,,,,,,,,VERTICAL,1982,2,4 way,0,Namco,joy4way,,Namco / Midway license,,,,
arcade,paddlema,Paddle Mania,,,,,,,,,,VERTICAL,1988,4,8 way,2,SNK,joy8way,,SNK,,,,
arcade,palamed,Palamedes,,,,,,,,,,HORIZONTAL,1990,2,8 way,2,Other,joy8way,,"Hot-B Co., Ltd.",,,,
arcade,pandoras,Pandora's Palace,,,,,,,,,,VERTICAL,1984,2,8 way,1,Konami,joy8way,,Konami / Interlogic,,,,
arcade,pangpang,Pang Pang,,,,,,,,,,HORIZONTAL,1994,2,8 way,2,Other,joy8way,,Dong Gue La Mi Ltd.,,,,
arcade,ppcar,Pang Pang Car,,,,,,,,,,HORIZONTAL,1999,1,8 way,2,Other,joy8way,,Icarus,,,,
arcade,pangpoms,Pang Pom's,,,,,,,,,,HORIZONTAL,1992,2,8 way,2,Other,joy8way,,Metro,,,,
arcade,pang3,Pang! 3,,,,,,,,,,HORIZONTAL,1995,2,4 way,1,Capcom,joy4way,,Mitchell / Capcom,,,,
arcade,panicbom,Panic Bomber,,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Eighting / Hudson,,,,
arcade,panicstr,Panic Street,,,,,,,,,,HORIZONTAL,1999,2,8 way,1,Other,joy8way,,Kaneko,,,,
arcade,pass,Pass,,,,,,,,,,HORIZONTAL,1992,2,8 way,2,Other,joy8way,,Oksan,,,,
arcade,passsht,"Passing Shot (World, 2 Players)",,,,,,,,,,VERTICAL,1988,2,8 way,4,SEGA,joy8way,,SEGA,,,,
arcade,peggle,Peggle,,,,,,,,,,VERTICAL,1991,1,4 way,0,Other,joy2way,,Strata/Incredible Technologies,,,,
arcade,penbros,Penguin Brothers,,,,,,,,,,HORIZONTAL,2000,2,8 way,2,Other,joy8way,,Subsino,,,,
arcade,pkunwar,Penguin-Kun Wars,,,,,,,,,,HORIZONTAL,1985,2,4 way,1,Other,joy2way,,UPL,,,,
arcade,perfrman,Performan,,,,,,,,,,VERTICAL,1985,2,8 way,2,Data East,joy8way,,Toaplan / Data East,,,,
arcade,cppicf,Peter Pepper's Ice Cream Factory (DECO Cassette) (US),,,,,,,,,,VERTICAL,1984,2,8 way,2,Data East,joy8way,stick,Data East,,,,
arcade,pigskin,Pigskin 621AD,,,,,,,,,,HORIZONTAL,1990,2,8 way,3,Midway,joy8way,stick,Midway,,,,
arcade,pbaction,Pinball Action,,,,,,,,,,VERTICAL,1985,2,buttons only,4,Other,,only_buttons,Tehkan,,,,
arcade,pipedrm,Pipe Dream,,,,,,,,,,HORIZONTAL,1990,2,8 way,2,Other,joy8way,,Video System Co.,,,,
arcade,pipeline,Pipeline,,,,,,,,,,HORIZONTAL,1990,1,8 way,2,Other,joy8way,,Daehyun Electronics,,,,
arcade,pipibibs,Pipi & Bibis,,,,,,,,,,HORIZONTAL,1991,2,8 way,2,Toaplan,joy8way,,Toaplan,,,,
arcade,thepit,"Pit, The",,,,,,,,,,VERTICAL,1982,2,8 way,1,Other,joy8way,,Zilec Electronics,,,,
arcade,plsmaswd,Plasma Sword: Nightmare of Bilstein,,,,,,,,,,HORIZONTAL,1998,2,8 way,6,Capcom,joy8way,,Capcom,,,,
arcade,pgoal,Pleasure Goal,,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,Saurus,,,,
arcade,plotting,Plotting,,,,,,,,,,HORIZONTAL,1989,2,8 way,1,Taito,joy8way,,Taito,,,,
arcade,plumppop,Plump Pop,,,,,,,,,,HORIZONTAL,1987,2,analog,2,Taito,,dial,Taito,,,,
arcade,plusalph,Plus Alpha,,,,,,,,,,VERTICAL,1989,2,8 way,2,Other,joy8way,,Jaleco,,,,
arcade,pnickj,Pnickies,,,,,,,,,,HORIZONTAL,1994,2,8 way,3,Capcom,joy8way,,Capcom,,,,
arcade,pnyaa,Pochi & Nyaa,,,,,,,,,,HORIZONTAL NEOGEO,2003,2,8 way,4,Neo Geo,joy8way,,Aiky / Taito,,,,
arcade,pktgaldx,Pocket Gal Deluxe,,,,,,,,,,HORIZONTAL,1992,2,8 way,3,Data East,joy8way,,Data East,,,,
arcade,pocketrc,Pocket Racer,,,,,,,,,,HORIZONTAL,1996,1,analog,1,Namco,,pedal / paddle,Namco,,,,
arcade,ptblank2,Point Blank 2,,,,,,,,,,HORIZONTAL,1999,2,lightgun,1,Namco,,lightgun,Namco,,,,
arcade,pollux,Pollux,,,,,,,,,,VERTICAL,1991,2,8 way,2,Other,joy8way,,Dooyong,,,,
arcade,pong,Pong,,,,,,,,,,HORIZONTAL,1972,2,analog,0,Atari,,paddle,Atari,,,,
arcade,ponpoko,Ponpoko,,,,,,,,,,HORIZONTAL,1982,2,4 way,1,Other,joy4way,,Sigma Enterprises Inc.,,,,
arcade,popbounc,Pop 'n Bounce,,,,,,,,,,HORIZONTAL NEOGEO,1997,2,8 way,3,Neo Geo,joy8way,dial,Video System Co. / SNK,,,,
arcade,popflame,Pop Flamer,,,,,,,,,,VERTICAL,1982,2,4 way,1,Other,joy4way,,Jaleco,,,,
arcade,popnpop,Pop'n Pop,,,,,,,,,,HORIZONTAL,1997,4,8 way,4,Taito,joy8way,dial,Taito,,,,
arcade,portman,Port Man,,,,,,,,,,VERTICAL,1982,2,8 way,1,Taito,joy8way,,Taito / Nova Games Ltd. license,,,,
arcade,powerins,Power Instinct,,,,,,,,,,HORIZONTAL,1993,2,8 way,4,Other,joy8way,,Atlus,,,,
arcade,pwrinst2,Power Instinct 2,,,,,,,,,,HORIZONTAL,1994,2,8 way,4,Other,joy8way,,Atlus,,,,
arcade,pspikes,Power Spikes,,,,,,,,,,HORIZONTAL,1991,2,8 way,3,Other,joy8way,,Video System Co. / Video System,,,,
arcade,pspikes2,Power Spikes 2,,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Video System Co.,,,,
arcade,prikura,Princess Clara Daisakusen,,,,,,,,,,HORIZONTAL,1996,4,8 way,4,Other,joy8way,,Atlus,,,,
arcade,prosport,"Pro Sports: Bowling, Tennis, & Golf",,,,,,,,,,VERTICAL,1983,2,8 way,2,Data East,joy8way,,Data East,,,,
arcade,propcycl,Prop Cycle,,,,,,,,,,HORIZONTAL,1996,1,analog,0,Namco,,stick,Namco,,,,
arcade,psyvaria,Psyvariar: Medium Unit:,,,,,,,,,,VERTICAL,2000,4,8 way,3,Other,joy8way,,Success,,,,
arcade,psyvarrv,Psyvariar: Revision:,,,,,,,,,,VERTICAL,2000,4,8 way,3,Other,joy8way,,Success,,,,
arcade,pulirula,PuLiRuLa,,,,,,,,,,HORIZONTAL,1991,2,8 way,3,Taito,joy8way,,Taito,,,,
arcade,puchicar,Puchi Carat,,,,,,,,,,HORIZONTAL,1997,4,8 way,4,Taito,joy8way,dial,Taito,,,,
arcade,punkshot,Punk Shot,,,,,,,,,,HORIZONTAL,1990,4,8 way,2,Konami,joy8way,,Konami,,,,
arcade,pururun,Pururun,,,,,,,,,,HORIZONTAL,1995,2,8 way,2,Other,joy8way,,Metro / Banpresto,,,,
arcade,puyo,Puyo Puyo,,,,,,,,,,HORIZONTAL,1992,2,8 way,1,SEGA,joy8way,,Compile / SEGA,,,,
arcade,puyopuy2,Puyo Puyo 2,,,,,,,,,,HORIZONTAL,1994,2,8 way,2,SEGA,joy8way,,Compile / SEGA,,,,
arcade,puzzloop,Puzz Loop,,,,,,,,,,HORIZONTAL,1998,2,8 way,2,Other,joy8way,dial,Mitchell,,,,
arcade,pbobblen,Puzzle Bobble,,,,,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,Taito,,,,
arcade,pbobbl2n,Puzzle Bobble 2,,,,,,,,,,HORIZONTAL NEOGEO,1999,2,8 way,4,Neo Geo,joy8way,,Taito / SNK license,,,,
arcade,pzlbowl,Puzzle De Bowling,,,,,,,,,,HORIZONTAL,1999,2,8 way,3,Other,joy8way,,MOSS / Nihon System,,,,
arcade,puzzledp,Puzzle De Pon!,,,,,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,Visco,,,,
arcade,puzzldpr,Puzzle De Pon! R!,,,,,,,,,,HORIZONTAL NEOGEO,1997,2,8 way,4,Neo Geo,joy8way,,Visco,,,,
arcade,joyjoy,Puzzled,,,,,,,,,,HORIZONTAL NEOGEO,1990,2,8 way,4,Neo Geo,joy8way,,SNK,,,,
arcade,puzzli,Puzzli,,,,,,,,,,HORIZONTAL,1995,2,8 way,2,Other,joy8way,,Metro / Banpresto,,,,
arcade,qbertqub,Q*bert's Qubes,,,,,,,,,,VERTICAL,1983,1,8 way,0,Other,joy8way,,Mylstar,,,,
arcade,qb3,QB-3,,,,,,,,,,HORIZONTAL,1982,1,twin stick,4,Other,doublejoy8way,,Rock-Ola,,,,
arcade,quantum,Quantum,,,,,,,,,,VERTICAL,1982,1,trackball,0,Atari,,trackball,General Computer Corporation / Atari license,,,,
arcade,rshark,R-Shark,,,,,,,,,,VERTICAL,1995,2,8 way,4,Other,joy8way,,Dooyong,,,,
arcade,rabbit,Rabbit,,,,,,,,,,HORIZONTAL,1997,2,8 way,4,Other,joy8way,,Aorn / Electronic Arts,,,,
arcade,rachero,Racing Hero,,,,,,,,,,HORIZONTAL,1989,1,analog,0,SEGA,,pedal / paddle,SEGA,,,,
arcade,radr,Rad Rally,,,,,,,,,,HORIZONTAL,1991,1,analog,1,SEGA,,pedal / paddle,SEGA,,,,
arcade,radrad,Radical Radial,,,,,,,,,,HORIZONTAL,1982,2,8 way,2,Other,joy8way,,Nichibutsu USA,,,,
arcade,radikalb,Radikal Bikers,,,,,,,,,,HORIZONTAL,1998,1,4 way,3,Other,joy1way,paddle,Gaelco,,,,
arcade,ragnagrd,Ragnagard,,,,,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,Saurus,,,,
arcade,raiden2,Raiden 2,,,,,,,,,,VERTICAL,1993,2,8 way,2,Other,joy8way,,Seibu Kaihatsu / Fabtek license,,,,
arcade,stratof,Raiga: Strato Fighter,,,,,,,,,,HORIZONTAL,1991,2,8 way,2,Tecmo,joy8way,,Tecmo,,,,
arcade,rchase,Rail Chase,,,,,,,,,,HORIZONTAL,1991,2,lightgun,1,SEGA,,lightgun,SEGA,,,,
arcade,raimais,Raimais,,,,,,,,,,HORIZONTAL,1988,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,rbislande,Rainbow Islands: Extra Version,,,,,,,,,,HORIZONTAL,1988,2,4 way,2,Taito,joy2way,,Taito,,,,
arcade,rastan,Rastan,,,,,,,,,,HORIZONTAL,1987,2,8 way,2,Taito,joy8way,,Taito,,,,
arcade,raycris,Ray Crisis,,,,,,,,,,HORIZONTAL,1998,4,8 way,3,Taito,joy8way,,Taito,,,,
arcade,raycrisis,Ray Crisis,,,,,,,,,,HORIZONTAL,1998,4,8 way,3,Taito,joy8way,,Taito,,,,
arcade,raystorm,Ray Storm,,,,,,,,,,HORIZONTAL,1996,4,8 way,3,Taito,joy8way,,Taito,,,,
arcade,razmataz,Razzmatazz,,,,,,,,,,VERTICAL,1983,2,analog,1,SEGA,,dial,SEGA,,,,
arcade,reactor,Reactor,,,,,,,,,,HORIZONTAL,1982,1,trackball,2,Other,,trackball,Gottlieb,,,,
arcade,rbff1,Real Bout Fatal Fury,,,,,,,,,,HORIZONTAL NEOGEO,1995,2,8 way,4,Neo Geo,joy8way,,SNK,,,,
arcade,rbff2,Real Bout Fatal Fury 2: The Newcomers,,,,,,,,,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,SNK,,,,
arcade,ghostb3,"Real Ghostbusters, The",,,,,,,,,,HORIZONTAL,1987,3,8 way,2,Data East,joy8way,,Data East / Activision,,,,
arcade,redalert,Red Alert,,,,,,,,,,VERTICAL,1981,2,4 way,1,Irem,joy2way,,Irem / GDI license,,,,
arcade,redbaron,Red Baron,,,,,,,,,,HORIZONTAL,1980,1,analog,1,Atari,joy4way,stick,Atari,,,,
arcade,regulus,Regulus,,,,,,,,,,VERTICAL,1983,2,8 way,2,SEGA,joy8way,,SEGA,,,,
arcade,reikaids,Reikai Doushi,,,,,,,,,,HORIZONTAL,1988,2,8 way,3,Other,joy8way,,Home Data,,,,
arcade,relief,Relief Pitcher,,,,,,,,,,HORIZONTAL,1992,2,8 way,3,Atari,joy8way,,Atari Games,,,,
arcade,repulse,Repulse,,,,,,,,,,VERTICAL,1985,2,8 way,2,SEGA,joy8way,,Crux / SEGA,,,,
arcade,roishtar,"Return of Ishtar, The",,,,,,,,,,HORIZONTAL,1986,1,twin stick,2,Namco,doublejoy8way,,Namco,,,,
arcade,retofinv,Return of the Invaders,,,,,,,,,,VERTICAL,1985,2,4 way,1,Taito,joy2way,,Taito,,,,
arcade,ribbit,Ribbit!,,,,,,,,,,HORIZONTAL,1991,2,8 way,0,SEGA,joy8way,,SEGA,,,,
arcade,ridingf,Riding Fight,,,,,,,,,,HORIZONTAL,1992,4,8 way,4,Taito,joy8way,dial,Taito,,,,
arcade,ridhero,Riding Hero,,,,,,,,,,HORIZONTAL NEOGEO,1990,2,8 way,4,Neo Geo,joy8way,,SNK,,,,
arcade,rimrockn,Rim Rockin' Basketball,,,,,,,,,,HORIZONTAL,1991,4,8 way,2,Other,joy8way,,Strata/Incredible Technologies,,,,
arcade,ringking,Ring King,,,,,,,,,,VERTICAL,1985,2,8 way,3,Data East,joy8way,,Woodplace Inc. / Data East,,,,
arcade,ringrage,Ring Rage,,,,,,,,,,HORIZONTAL,1992,4,8 way,4,Taito,joy8way,dial,Taito,,,,
